Student,Country,Question,Option
IT Management Student,North Macedonia,"Question 1,",option e
IT Management Student,North Macedonia,"Question 2,",option e
IT Management Student,North Macedonia,"Question 3,",option e
IT Management Student,North Macedonia,"Question 4,",option d
IT Management Student,North Macedonia,"Question 5,",option e
IT Management Student,North Macedonia,"Question 6,",option e
IT Management Student,North Macedonia,"Question 7,",option e
IT Management Student,North Macedonia,"Question 8,",option e
IT Management Student,North Macedonia,"Question 9,",option d
IT Management Student,North Macedonia,"Question 10,",option c
IT Management Student,North Macedonia,"Question 11,",option e
IT Management Student,North Macedonia,"Question 12,",option e
IT Management Student,North Macedonia,"Question 13,",option d
IT Management Student,North Macedonia,"Question 14,",option e
IT Management Student,North Macedonia,"Question 15,",option e
IT Management Student,North Macedonia,"Question 16,",option d
IT Management Student,North Macedonia,"Question 17,",option e
IT Management Student,North Macedonia,"Question 18,",option d
Business Student,USA,"Question 1,",option e
Business Student,USA,"Question 2,",option e
Business Student,USA,"Question 3,",option e
Business Student,USA,"Question 4,",option d
Business Student,USA,"Question 5,",option e
Business Student,USA,"Question 6,",option e
Business Student,USA,"Question 7,",option e
Business Student,USA,"Question 8,",option e
Business Student,USA,"Question 9,",option d
Business Student,USA,"Question 10,",option c
Business Student,USA,"Question 11,",option e
Business Student,USA,"Question 12,",option e
Business Student,USA,"Question 13,",option d
Business Student,USA,"Question 14,",option e
Business Student,USA,"Question 15,",option e
Business Student,USA,"Question 16,",option d
Business Student,USA,"Question 17,",option e
Business Student,USA,"Question 18,",option d
