Student,Country,Question,Option
IT Management Student,North Macedonia,"Question 1,",option c
IT Management Student,North Macedonia,"Question 2,",option b
IT Management Student,North Macedonia,"Question 3,",option c
IT Management Student,North Macedonia,"Question 4,",option a
IT Management Student,North Macedonia,"Question 5,",option b
IT Management Student,North Macedonia,"Question 6,",option b
IT Management Student,North Macedonia,"Question 7,",option c
IT Management Student,North Macedonia,"Question 8,",option c
IT Management Student,North Macedonia,"Question 9,",option b
IT Management Student,North Macedonia,"Question 10,",option b
IT Management Student,North Macedonia,"Question 11,",option b
IT Management Student,North Macedonia,"Question 12,",option a
Business Student,USA,"Question 1,",option b
Business Student,USA,"Question 2,",option b
Business Student,USA,"Question 3,",option c
Business Student,USA,"Question 4,",option b
Business Student,USA,"Question 5,",option b
Business Student,USA,"Question 6,",option b
Business Student,USA,"Question 7,",option c
Business Student,USA,"Question 8,",option c
Business Student,USA,"Question 9,",option a
Business Student,USA,"Question 10,",option b
Business Student,USA,"Question 11,",option b
Business Student,USA,"Question 12,",option a
