Student,Country,Question,Option
IT Management Student,North Macedonia,"Question 1,",option b
IT Management Student,North Macedonia,"Question 2,",option b
IT Management Student,North Macedonia,"Question 3,",option b
IT Management Student,North Macedonia,"Question 4,",option d
IT Management Student,North Macedonia,"Question 5,",option b
IT Management Student,North Macedonia,"Question 6,",option b
IT Management Student,North Macedonia,"Question 7,",option b
IT Management Student,North Macedonia,"Question 8,",option b
IT Management Student,North Macedonia,"Question 9,",option b
IT Management Student,North Macedonia,"Question 10,",option b
IT Management Student,North Macedonia,"Question 11,",option b
IT Management Student,North Macedonia,"Question 12,",option b
IT Management Student,North Macedonia,"Question 13,",option d
IT Management Student,North Macedonia,"Question 14,",option d
IT Management Student,North Macedonia,"Question 15,",option b
IT Management Student,North Macedonia,"Question 16,",option d
IT Management Student,North Macedonia,"Question 17,",option b
IT Management Student,North Macedonia,"Question 18,",option b
IT Management Student,North Macedonia,"Question 19,",option b
IT Management Student,North Macedonia,"Question 20,",option d
Business Student,USA,"Question 1,",option b
Business Student,USA,"Question 2,",option b
Business Student,USA,"Question 3,",option b
Business Student,USA,"Question 4,",option b
Business Student,USA,"Question 5,",option b
Business Student,USA,"Question 6,",option b
Business Student,USA,"Question 7,",option b
Business Student,USA,"Question 8,",option b
Business Student,USA,"Question 9,",option b
Business Student,USA,"Question 10,",option b
Business Student,USA,"Question 11,",option b
Business Student,USA,"Question 12,",option b
Business Student,USA,"Question 13,",option b
Business Student,USA,"Question 14,",option b
Business Student,USA,"Question 15,",option b
Business Student,USA,"Question 16,",option d
Business Student,USA,"Question 17,",option b
Business Student,USA,"Question 18,",option b
Business Student,USA,"Question 19,",option b
Business Student,USA,"Question 20,",option d
