WorkPosition,Country,Question,Option
Student,MK,Question 1,option b
Student,MK,Question 2,option b
Student,MK,Question 3,option a
Student,MK,Question 4,option a
Student,MK,Question 5,option b
Student,MK,Question 6,option b
Student,MK,Question 7,option b
Student,MK,Question 8,option b
Student,MK,Question 9,option a
Student,MK,Question 10,option a
Student,MK,Question 11,option b
Student,MK,Question 12,option a
Student,MK,Question 13,option a
Student,MK,Question 14,option a
Student,MK,Question 15,option a
Student,MK,Question 16,option b
Student,MK,Question 17,option b
Student,MK,Question 18,option b
Student,MK,Question 19,option a
Student,MK,Question 20,option b
Student,MK,Question 21,option b
Student,MK,Question 22,option a
Student,MK,Question 23,option b
Student,MK,Question 24,option a
Student,MK,Question 25,option a
Student,MK,Question 26,option a
Student,MK,Question 27,option a
Student,MK,Question 28,option a
Student,MK,Question 29,option b
