WorkPosition,Country,Question,Option
Student,USA,Question 1,option d
Student,USA,Question 2,option e
Student,USA,Question 3,option e
Student,USA,Question 4,option d
Student,USA,Question 5,option e
Student,USA,Question 6,option d
Student,USA,Question 7,option e
Student,USA,Question 8,option d
Student,USA,Question 9,option d
Student,USA,Question 10,option d
Student,USA,Question 11,option d
Student,USA,Question 12,option e
Student,USA,Question 13,option e
Student,USA,Question 14,option e
Student,USA,Question 15,option d
Student,USA,Question 16,option d
Student,USA,Question 17,option e
Student,USA,Question 18,option d
