WorkPosition,Country,Question,Option
Student,USA,Question 1,option d
Student,USA,Question 2,option f
Student,USA,Question 3,option g
Student,USA,Question 4,option b
Student,USA,Question 5,option d
Student,USA,Question 6,option b
Student,USA,Question 7,option d
Student,USA,Question 8,option f
Student,USA,Question 9,option b
Student,USA,Question 10,option b
Student,USA,Question 11,option b
Student,USA,Question 12,option f
Student,USA,Question 13,option b
Student,USA,Question 14,option f
Student,USA,Question 15,option a
Student,USA,Question 16,option g
