WorkPosition,Country,Question,Option
Project Manager,Macedonia,Question 1,option a
Project Manager,Macedonia,Question 2,option a
Project Manager,Macedonia,Question 3,option b
Project Manager,Macedonia,Question 4,option b
Project Manager,Macedonia,Question 5,option a
Project Manager,Macedonia,Question 6,option b
Project Manager,Macedonia,Question 7,option b
Project Manager,Macedonia,Question 8,option a
Project Manager,Macedonia,Question 9,option b
Project Manager,Macedonia,Question 10,option a
Project Manager,Macedonia,Question 11,option a
Project Manager,Macedonia,Question 12,option b
Project Manager,Macedonia,Question 13,option b
Project Manager,Macedonia,Question 14,option b
Project Manager,Macedonia,Question 15,option a
Project Manager,Macedonia,Question 16,option b
Project Manager,Macedonia,Question 17,option a
Project Manager,Macedonia,Question 18,option b
Project Manager,Macedonia,Question 19,option a
Project Manager,Macedonia,Question 20,option b
Project Manager,Canada,Question 1,option a
Project Manager,Canada,Question 2,option a
Project Manager,Canada,Question 3,option a
Project Manager,Canada,Question 4,option a
Project Manager,Canada,Question 5,option a
Project Manager,Canada,Question 6,option a
Project Manager,Canada,Question 7,option a
Project Manager,Canada,Question 8,option a
Project Manager,Canada,Question 9,option a
Project Manager,Canada,Question 10,option a
Project Manager,Canada,Question 11,option a
Project Manager,Canada,Question 12,option a
Project Manager,Canada,Question 13,option a
Project Manager,Canada,Question 14,option a
Project Manager,Canada,Question 15,option a
Project Manager,Canada,Question 16,option a
Project Manager,Canada,Question 17,option a
Project Manager,Canada,Question 18,option a
Project Manager,Canada,Question 19,option a
Project Manager,Canada,Question 20,option a
Project Manager,Spain,Question 1,option a
Project Manager,Spain,Question 2,option a
Project Manager,Spain,Question 3,option a
Project Manager,Spain,Question 4,option a
Project Manager,Spain,Question 5,option a
Project Manager,Spain,Question 6,option a
Project Manager,Spain,Question 7,option a
Project Manager,Spain,Question 8,option a
Project Manager,Spain,Question 9,option a
Project Manager,Spain,Question 10,option a
Project Manager,Spain,Question 11,option a
Project Manager,Spain,Question 12,option a
Project Manager,Spain,Question 13,option a
Project Manager,Spain,Question 14,option a
Project Manager,Spain,Question 15,option a
Project Manager,Spain,Question 16,option a
Project Manager,Spain,Question 17,option a
Project Manager,Spain,Question 18,option a
Project Manager,Spain,Question 19,option a
Project Manager,Spain,Question 20,option a
Project Manager,Argentina,Question 1,option a
Project Manager,Argentina,Question 2,option a
Project Manager,Argentina,Question 3,option b
Project Manager,Argentina,Question 4,option b
Project Manager,Argentina,Question 5,option a
Project Manager,Argentina,Question 6,option b
Project Manager,Argentina,Question 7,option b
Project Manager,Argentina,Question 8,option a
Project Manager,Argentina,Question 9,option b
Project Manager,Argentina,Question 10,option a
Project Manager,Argentina,Question 11,option a
Project Manager,Argentina,Question 12,option b
Project Manager,Argentina,Question 13,option b
Project Manager,Argentina,Question 14,option b
Project Manager,Argentina,Question 15,option a
Project Manager,Argentina,Question 16,option b
Project Manager,Argentina,Question 17,option a
Project Manager,Argentina,Question 18,option b
Project Manager,Argentina,Question 19,option a
Project Manager,Argentina,Question 20,option b
Project Manager,Germany,Question 1,option a
Project Manager,Germany,Question 2,option a
Project Manager,Germany,Question 3,option b
Project Manager,Germany,Question 4,option b
Project Manager,Germany,Question 5,option a
Project Manager,Germany,Question 6,option b
Project Manager,Germany,Question 7,option b
Project Manager,Germany,Question 8,option a
Project Manager,Germany,Question 9,option b
Project Manager,Germany,Question 10,option a
Project Manager,Germany,Question 11,option a
Project Manager,Germany,Question 12,option b
Project Manager,Germany,Question 13,option a
Project Manager,Germany,Question 14,option b
Project Manager,Germany,Question 15,option a
Project Manager,Germany,Question 16,option b
Project Manager,Germany,Question 17,option a
Project Manager,Germany,Question 18,option b
Project Manager,Germany,Question 19,option a
Project Manager,Germany,Question 20,option b
Project Manager,Malta,Question 1,option a
Project Manager,Malta,Question 2,option a
Project Manager,Malta,Question 3,option a
Project Manager,Malta,Question 4,option a
Project Manager,Malta,Question 5,option a
Project Manager,Malta,Question 6,option a
Project Manager,Malta,Question 7,option a
Project Manager,Malta,Question 8,option a
Project Manager,Malta,Question 9,option a
Project Manager,Malta,Question 10,option a
Project Manager,Malta,Question 11,option a
Project Manager,Malta,Question 12,option a
Project Manager,Malta,Question 13,option a
Project Manager,Malta,Question 14,option a
Project Manager,Malta,Question 15,option a
Project Manager,Malta,Question 16,option a
Project Manager,Malta,Question 17,option a
Project Manager,Malta,Question 18,option a
Project Manager,Malta,Question 19,option a
Project Manager,Malta,Question 20,option a
Project Manager,United Kingdom,Question 1,option a
