WorkPosition,Country,Question,Option
Student,USA,Question 1,option c
Student,USA,Question 2,option g
Student,USA,Question 3,option f
Student,USA,Question 4,option e
Student,USA,Question 5,option f
Student,USA,Question 6,option f
Student,USA,Question 7,option e
Student,USA,Question 8,option g
Student,USA,Question 9,option a
Student,USA,Question 10,option f
Student,USA,Question 11,option e
Student,USA,Question 12,option f
Student,USA,Question 13,option e
Student,USA,Question 14,option f
Student,USA,Question 15,option a
Student,USA,Question 16,option g
