WorkPosition,Country,Question,Option
Project Manager,North Macedonia,"Question 1,",option e
Project Manager,North Macedonia,"Question 2,",option d
Project Manager,North Macedonia,"Question 3,",option d
Project Manager,North Macedonia,"Question 4,",option d
Project Manager,North Macedonia,"Question 5,",option d
Project Manager,North Macedonia,"Question 6,",option d
Project Manager,North Macedonia,"Question 7,",option d
Project Manager,North Macedonia,"Question 8,",option d
Project Manager,North Macedonia,"Question 9,",option d
Project Manager,North Macedonia,"Question 10,",option c
Project Manager,North Macedonia,"Question 11,",option d
Project Manager,North Macedonia,"Question 12,",option d
Project Manager,North Macedonia,"Question 13,",option d
Project Manager,North Macedonia,"Question 14,",option d
Project Manager,North Macedonia,"Question 15,",option d
Project Manager,North Macedonia,"Question 16,",option d
Project Manager,North Macedonia,"Question 17,",option d
Project Manager,North Macedonia,"Question 18,",option d
Project Manager,Canada,"Question 1,",option d
Project Manager,Canada,"Question 2,",option d
Project Manager,Canada,"Question 3,",option d
Project Manager,Canada,"Question 4,",option d
Project Manager,Canada,"Question 5,",option d
Project Manager,Canada,"Question 6,",option d
Project Manager,Canada,"Question 7,",option d
Project Manager,Canada,"Question 8,",option d
Project Manager,Canada,"Question 9,",option d
Project Manager,Canada,"Question 10,",option c
Project Manager,Canada,"Question 11,",option d
Project Manager,Canada,"Question 12,",option d
Project Manager,Canada,"Question 13,",option d
Project Manager,Canada,"Question 14,",option d
Project Manager,Canada,"Question 15,",option d
Project Manager,Canada,"Question 16,",option d
Project Manager,Canada,"Question 17,",option d
Project Manager,Canada,"Question 18,",option d
Project Manager,Spain,"Question 1,",option e
Project Manager,Spain,"Question 2,",option d
Project Manager,Spain,"Question 3,",option d
Project Manager,Spain,"Question 4,",option d
Project Manager,Spain,"Question 5,",option d
Project Manager,Spain,"Question 6,",option d
Project Manager,Spain,"Question 7,",option d
Project Manager,Spain,"Question 8,",option d
Project Manager,Spain,"Question 9,",option d
Project Manager,Spain,"Question 10,",option c
Project Manager,Spain,"Question 11,",option d
Project Manager,Spain,"Question 12,",option d
