Student,Country,Question,Option
IT Management Student,North Macedonia,"Question 1,",option a
IT Management Student,North Macedonia,"Question 2,",option a
IT Management Student,North Macedonia,"Question 3,",option a
IT Management Student,North Macedonia,"Question 4,",option b
IT Management Student,North Macedonia,"Question 5,",option a
IT Management Student,North Macedonia,"Question 6,",option a
IT Management Student,North Macedonia,"Question 7,",option a
IT Management Student,North Macedonia,"Question 8,",option a
IT Management Student,North Macedonia,"Question 9,",option a
IT Management Student,North Macedonia,"Question 10,",option a
IT Management Student,North Macedonia,"Question 11,",option a
IT Management Student,North Macedonia,"Question 12,",option a
IT Management Student,North Macedonia,"Question 13,",option a
IT Management Student,North Macedonia,"Question 14,",option a
IT Management Student,North Macedonia,"Question 15,",option a
IT Management Student,North Macedonia,"Question 16,",option a
IT Management Student,North Macedonia,"Question 17,",option a
IT Management Student,North Macedonia,"Question 18,",option a
IT Management Student,North Macedonia,"Question 19,",option a
IT Management Student,North Macedonia,"Question 20,",option a
Business Student,USA,"Question 1,",option a
Business Student,USA,"Question 2,",option a
Business Student,USA,"Question 3,",option a
Business Student,USA,"Question 4,",option b
Business Student,USA,"Question 5,",option a
Business Student,USA,"Question 6,",option a
Business Student,USA,"Question 7,",option a
Business Student,USA,"Question 8,",option a
Business Student,USA,"Question 9,",option a
Business Student,USA,"Question 10,",option a
Business Student,USA,"Question 11,",option a
Business Student,USA,"Question 12,",option a
Business Student,USA,"Question 13,",option a
Business Student,USA,"Question 14,",option a
Business Student,USA,"Question 15,",option a
Business Student,USA,"Question 16,",option a
Business Student,USA,"Question 17,",option a
Business Student,USA,"Question 18,",option a
Business Student,USA,"Question 19,",option a
Business Student,USA,"Question 20,",option a
