Student,Country,Question,Option
Business Student,USA,"Question 1,",option d
Business Student,USA,"Question 2,",option g
Business Student,USA,"Question 3,",option f
Business Student,USA,"Question 4,",option c
Business Student,USA,"Question 5,",option f
Business Student,USA,"Question 6,",option f
Business Student,USA,"Question 7,",option f
Business Student,USA,"Question 8,",option g
Business Student,USA,"Question 9,",option c
Business Student,USA,"Question 10,",option c
Business Student,USA,"Question 11,",option d
Business Student,USA,"Question 12,",option f
Business Student,USA,"Question 13,",option g
Business Student,USA,"Question 14,",option e
Business Student,USA,"Question 15,",option c
Business Student,USA,"Question 16,",option g
IT Management Student,North Macedonia,"Question 1,",option d
IT Management Student,North Macedonia,"Question 2,",option e
IT Management Student,North Macedonia,"Question 3,",option g
IT Management Student,North Macedonia,"Question 4,",option b
IT Management Student,North Macedonia,"Question 5,",option f
IT Management Student,North Macedonia,"Question 6,",option e
IT Management Student,North Macedonia,"Question 7,",option f
IT Management Student,North Macedonia,"Question 8,",option g
IT Management Student,North Macedonia,"Question 9,",option c
IT Management Student,North Macedonia,"Question 10,",option c
IT Management Student,North Macedonia,"Question 11,",option f
IT Management Student,North Macedonia,"Question 12,",option g
IT Management Student,North Macedonia,"Question 13,",option e
IT Management Student,North Macedonia,"Question 14,",option f
IT Management Student,North Macedonia,"Question 15,",option d
IT Management Student,North Macedonia,"Question 16,",option g
