WorkPosition,Country,Question,Option
Project Manager,Macedonia,Question 1,option e
Project Manager,Macedonia,Question 2,option e
Project Manager,Macedonia,Question 3,option e
Project Manager,Macedonia,Question 4,option d
Project Manager,Macedonia,Question 5,option e
Project Manager,Macedonia,Question 6,option e
Project Manager,Macedonia,Question 7,option e
Project Manager,Macedonia,Question 8,option e
Project Manager,Macedonia,Question 9,option e
Project Manager,Macedonia,Question 10,option d
Project Manager,Macedonia,Question 11,option e
Project Manager,Macedonia,Question 12,option e
Project Manager,Macedonia,Question 13,option d
Project Manager,Macedonia,Question 14,option e
Project Manager,Macedonia,Question 15,option e
Project Manager,Macedonia,Question 16,option d
Project Manager,Macedonia,Question 17,option e
Project Manager,Macedonia,Question 18,option d
Project Manager,Canada,Question 1,option e
Project Manager,Canada,Question 2,option e
Project Manager,Canada,Question 3,option e
Project Manager,Canada,Question 4,option d
Project Manager,Canada,Question 5,option e
Project Manager,Canada,Question 6,option e
Project Manager,Canada,Question 7,option e
Project Manager,Canada,Question 8,option e
Project Manager,Canada,Question 9,option e
Project Manager,Canada,Question 10,option d
Project Manager,Canada,Question 11,option e
Project Manager,Canada,Question 12,option e
Project Manager,Canada,Question 13,option d
Project Manager,Canada,Question 14,option e
Project Manager,Canada,Question 15,option e
Project Manager,Canada,Question 16,option d
Project Manager,Canada,Question 17,option e
Project Manager,Canada,Question 18,option d
Project Manager,Spain,Question 1,option e
Project Manager,Spain,Question 2,option e
Project Manager,Spain,Question 3,option e
Project Manager,Spain,Question 4,option d
Project Manager,Spain,Question 5,option e
Project Manager,Spain,Question 6,option e
Project Manager,Spain,Question 7,option e
Project Manager,Spain,Question 8,option e
Project Manager,Spain,Question 9,option e
Project Manager,Spain,Question 10,option d
Project Manager,Spain,Question 11,option e
Project Manager,Spain,Question 12,option e
Project Manager,Spain,Question 13,option d
Project Manager,Spain,Question 14,option e
Project Manager,Spain,Question 15,option e
Project Manager,Spain,Question 16,option d
Project Manager,Spain,Question 17,option e
Project Manager,Spain,Question 18,option d
Project Manager,Argentina,Question 1,option e
Project Manager,Argentina,Question 2,option e
Project Manager,Argentina,Question 3,option e
Project Manager,Argentina,Question 4,option d
Project Manager,Argentina,Question 5,option e
Project Manager,Argentina,Question 6,option e
Project Manager,Argentina,Question 7,option e
Project Manager,Argentina,Question 8,option e
Project Manager,Argentina,Question 9,option e
Project Manager,Argentina,Question 10,option d
Project Manager,Argentina,Question 11,option e
Project Manager,Argentina,Question 12,option e
Project Manager,Argentina,Question 13,option d
Project Manager,Argentina,Question 14,option e
Project Manager,Argentina,Question 15,option e
Project Manager,Argentina,Question 16,option d
Project Manager,Argentina,Question 17,option e
Project Manager,Argentina,Question 18,option d
Project Manager,Germany,Question 1,option e
Project Manager,Germany,Question 2,option e
Project Manager,Germany,Question 3,option e
Project Manager,Germany,Question 4,option d
Project Manager,Germany,Question 5,option e
Project Manager,Germany,Question 6,option e
Project Manager,Germany,Question 7,option e
Project Manager,Germany,Question 8,option e
Project Manager,Germany,Question 9,option e
Project Manager,Germany,Question 10,option d
Project Manager,Germany,Question 11,option e
Project Manager,Germany,Question 12,option e
Project Manager,Germany,Question 13,option d
Project Manager,Germany,Question 14,option e
Project Manager,Germany,Question 15,option e
Project Manager,Germany,Question 16,option d
Project Manager,Germany,Question 17,option e
Project Manager,Germany,Question 18,option d
Project Manager,Malta,Question 1,option e
Project Manager,Malta,Question 2,option e
Project Manager,Malta,Question 3,option e
Project Manager,Malta,Question 4,option d
Project Manager,Malta,Question 5,option e
Project Manager,Malta,Question 6,option e
Project Manager,Malta,Question 7,option e
Project Manager,Malta,Question 8,option e
Project Manager,Malta,Question 9,option e
Project Manager,Malta,Question 10,option d
Project Manager,Malta,Question 11,option e
Project Manager,Malta,Question 12,option e
Project Manager,Malta,Question 13,option d
Project Manager,Malta,Question 14,option e
Project Manager,Malta,Question 15,option e
Project Manager,Malta,Question 16,option d
Project Manager,Malta,Question 17,option e
Project Manager,Malta,Question 18,option d
Project Manager,United Kingdom,Question 1,option e
Project Manager,United Kingdom,Question 2,option e
Project Manager,United Kingdom,Question 3,option e
Project Manager,United Kingdom,Question 4,option d
Project Manager,United Kingdom,Question 5,option e
Project Manager,United Kingdom,Question 6,option e
Project Manager,United Kingdom,Question 7,option e
Project Manager,United Kingdom,Question 8,option e
Project Manager,United Kingdom,Question 9,option e
Project Manager,United Kingdom,Question 10,option d
Project Manager,United Kingdom,Question 11,option e
Project Manager,United Kingdom,Question 12,option e
Project Manager,United Kingdom,Question 13,option d
Project Manager,United Kingdom,Question 14,option e
Project Manager,United Kingdom,Question 15,option e
Project Manager,United Kingdom,Question 16,option d
Project Manager,United Kingdom,Question 17,option e
Project Manager,United Kingdom,Question 18,option d
Full Stack Software Engineer,Macedonia,Question 1,option e
Full Stack Software Engineer,Macedonia,Question 2,option e
Full Stack Software Engineer,Macedonia,Question 3,option e
Full Stack Software Engineer,Macedonia,Question 4,option d
Full Stack Software Engineer,Macedonia,Question 5,option e
Full Stack Software Engineer,Macedonia,Question 6,option e
Full Stack Software Engineer,Macedonia,Question 7,option e
Full Stack Software Engineer,Macedonia,Question 8,option e
Full Stack Software Engineer,Macedonia,Question 9,option e
Full Stack Software Engineer,Macedonia,Question 10,option d
Full Stack Software Engineer,Macedonia,Question 11,option e
Full Stack Software Engineer,Macedonia,Question 12,option e
Full Stack Software Engineer,Macedonia,Question 13,option d
Full Stack Software Engineer,Macedonia,Question 14,option e
Full Stack Software Engineer,Macedonia,Question 15,option e
Full Stack Software Engineer,Macedonia,Question 16,option d
Full Stack Software Engineer,Macedonia,Question 17,option e
Full Stack Software Engineer,Macedonia,Question 18,option d
Full Stack Software Engineer,Canada,Question 1,option e
Full Stack Software Engineer,Canada,Question 2,option e
Full Stack Software Engineer,Canada,Question 3,option e
Full Stack Software Engineer,Canada,Question 4,option e
Full Stack Software Engineer,Canada,Question 5,option e
Full Stack Software Engineer,Canada,Question 6,option e
Full Stack Software Engineer,Canada,Question 7,option e
Full Stack Software Engineer,Canada,Question 8,option e
Full Stack Software Engineer,Canada,Question 9,option e
Full Stack Software Engineer,Canada,Question 10,option e
Full Stack Software Engineer,Canada,Question 11,option e
Full Stack Software Engineer,Canada,Question 12,option e
Full Stack Software Engineer,Canada,Question 13,option e
Full Stack Software Engineer,Canada,Question 14,option e
Full Stack Software Engineer,Canada,Question 15,option e
Full Stack Software Engineer,Canada,Question 16,option e
Full Stack Software Engineer,Canada,Question 17,option e
Full Stack Software Engineer,Canada,Question 18,option e
Full Stack Software Engineer,Spain,Question 1,option e
Full Stack Software Engineer,Spain,Question 2,option e
Full Stack Software Engineer,Spain,Question 3,option e
Full Stack Software Engineer,Spain,Question 4,option e
Full Stack Software Engineer,Spain,Question 5,option e
Full Stack Software Engineer,Spain,Question 6,option e
Full Stack Software Engineer,Spain,Question 7,option e
Full Stack Software Engineer,Spain,Question 8,option e
Full Stack Software Engineer,Spain,Question 9,option e
Full Stack Software Engineer,Spain,Question 10,option e
Full Stack Software Engineer,Spain,Question 11,option e
Full Stack Software Engineer,Spain,Question 12,option e
Full Stack Software Engineer,Spain,Question 13,option e
Full Stack Software Engineer,Spain,Question 14,option e
Full Stack Software Engineer,Spain,Question 15,option e
Full Stack Software Engineer,Spain,Question 16,option e
Full Stack Software Engineer,Spain,Question 17,option e
Full Stack Software Engineer,Spain,Question 18,option e
Full Stack Software Engineer,Argentina,Question 1,option e
Full Stack Software Engineer,Argentina,Question 2,option e
Full Stack Software Engineer,Argentina,Question 3,option e
Full Stack Software Engineer,Argentina,Question 4,option e
Full Stack Software Engineer,Argentina,Question 5,option e
Full Stack Software Engineer,Argentina,Question 6,option e
Full Stack Software Engineer,Argentina,Question 7,option e
Full Stack Software Engineer,Argentina,Question 8,option e
Full Stack Software Engineer,Argentina,Question 9,option e
Full Stack Software Engineer,Argentina,Question 10,option e
Full Stack Software Engineer,Argentina,Question 11,option e
Full Stack Software Engineer,Argentina,Question 12,option e
