WorkPosition,Country,Question,Option
Project Manager,Macedonia,Question 1,option a
Project Manager,Macedonia,Question 2,option b
Project Manager,Macedonia,Question 3,option c
Project Manager,Macedonia,Question 4,option b
Project Manager,Macedonia,Question 5,option b
Project Manager,Macedonia,Question 6,option b
Project Manager,Macedonia,Question 7,option a
Project Manager,Macedonia,Question 8,option c
Project Manager,Macedonia,Question 9,option a
Project Manager,Macedonia,Question 10,option c
Project Manager,Macedonia,Question 11,option b
Project Manager,Macedonia,Question 12,option a
Project Manager,Canada,Question 1,option a
Project Manager,Canada,Question 2,option b
Project Manager,Canada,Question 3,option c
Project Manager,Canada,Question 4,option b
Project Manager,Canada,Question 5,option b
Project Manager,Canada,Question 6,option b
Project Manager,Canada,Question 7,option a
Project Manager,Canada,Question 8,option c
Project Manager,Canada,Question 9,option a
Project Manager,Canada,Question 10,option c
Project Manager,Canada,Question 11,option b
Project Manager,Canada,Question 12,option a
Project Manager,Spain,Question 1,option a
Project Manager,Spain,Question 2,option b
Project Manager,Spain,Question 3,option c
Project Manager,Spain,Question 4,option b
Project Manager,Spain,Question 5,option b
Project Manager,Spain,Question 6,option b
Project Manager,Spain,Question 7,option a
Project Manager,Spain,Question 8,option c
Project Manager,Spain,Question 9,option a
Project Manager,Spain,Question 10,option c
Project Manager,Spain,Question 11,option b
Project Manager,Spain,Question 12,option a
Project Manager,Argentina,Question 1,option a
Project Manager,Argentina,Question 2,option b
Project Manager,Argentina,Question 3,option c
Project Manager,Argentina,Question 4,option b
Project Manager,Argentina,Question 5,option b
Project Manager,Argentina,Question 6,option b
Project Manager,Argentina,Question 7,option a
Project Manager,Argentina,Question 8,option c
Project Manager,Argentina,Question 9,option a
Project Manager,Argentina,Question 10,option c
Project Manager,Argentina,Question 11,option b
Project Manager,Argentina,Question 12,option a
Project Manager,Germany,Question 1,option a
Project Manager,Germany,Question 2,option b
Project Manager,Germany,Question 3,option c
Project Manager,Germany,Question 4,option b
Project Manager,Germany,Question 5,option b
Project Manager,Germany,Question 6,option a
Project Manager,Germany,Question 7,option a
Project Manager,Germany,Question 8,option c
Project Manager,Germany,Question 9,option a
Project Manager,Germany,Question 10,option c
Project Manager,Germany,Question 11,option b
Project Manager,Germany,Question 12,option a
Project Manager,Malta,Question 1,option a
Project Manager,Malta,Question 2,option b
Project Manager,Malta,Question 3,option c
Project Manager,Malta,Question 4,option b
Project Manager,Malta,Question 5,option b
Project Manager,Malta,Question 6,option b
Project Manager,Malta,Question 7,option a
Project Manager,Malta,Question 8,option c
Project Manager,Malta,Question 9,option a
Project Manager,Malta,Question 10,option c
Project Manager,Malta,Question 11,option b
Project Manager,Malta,Question 12,option a
Project Manager,United Kingdom,Question 1,option a
Project Manager,United Kingdom,Question 2,option b
Project Manager,United Kingdom,Question 3,option c
Project Manager,United Kingdom,Question 4,option b
Project Manager,United Kingdom,Question 5,option b
Project Manager,United Kingdom,Question 6,option b
Project Manager,United Kingdom,Question 7,option a
Project Manager,United Kingdom,Question 8,option c
Project Manager,United Kingdom,Question 9,option a
Project Manager,United Kingdom,Question 10,option c
Project Manager,United Kingdom,Question 11,option b
Project Manager,United Kingdom,Question 12,option a
Full Stack Software Engineer,Macedonia,Question 1,option a
Full Stack Software Engineer,Macedonia,Question 2,option b
Full Stack Software Engineer,Macedonia,Question 3,option c
Full Stack Software Engineer,Macedonia,Question 4,option b
Full Stack Software Engineer,Macedonia,Question 5,option b
Full Stack Software Engineer,Macedonia,Question 6,option b
Full Stack Software Engineer,Macedonia,Question 7,option a
Full Stack Software Engineer,Macedonia,Question 8,option c
Full Stack Software Engineer,Macedonia,Question 9,option a
Full Stack Software Engineer,Macedonia,Question 10,option c
Full Stack Software Engineer,Macedonia,Question 11,option b
Full Stack Software Engineer,Macedonia,Question 12,option a
Full Stack Software Engineer,Canada,Question 1,option a
Full Stack Software Engineer,Canada,Question 2,option b
Full Stack Software Engineer,Canada,Question 3,option c
Full Stack Software Engineer,Canada,Question 4,option b
Full Stack Software Engineer,Canada,Question 5,option b
Full Stack Software Engineer,Canada,Question 6,option b
Full Stack Software Engineer,Canada,Question 7,option a
Full Stack Software Engineer,Canada,Question 8,option c
Full Stack Software Engineer,Canada,Question 9,option a
Full Stack Software Engineer,Canada,Question 10,option c
Full Stack Software Engineer,Canada,Question 11,option b
Full Stack Software Engineer,Canada,Question 12,option a
Full Stack Software Engineer,Argentina,Question 1,option a
Full Stack Software Engineer,Argentina,Question 2,option b
Full Stack Software Engineer,Argentina,Question 3,option c
Full Stack Software Engineer,Argentina,Question 4,option b
Full Stack Software Engineer,Argentina,Question 5,option b
Full Stack Software Engineer,Argentina,Question 6,option b
Full Stack Software Engineer,Argentina,Question 7,option a
Full Stack Software Engineer,Argentina,Question 8,option c
Full Stack Software Engineer,Argentina,Question 9,option a
Full Stack Software Engineer,Argentina,Question 10,option c
Full Stack Software Engineer,Argentina,Question 11,option b
Full Stack Software Engineer,Argentina,Question 12,option a
Full Stack Software Engineer,Germany,Question 1,option a
Full Stack Software Engineer,Germany,Question 2,option b
Full Stack Software Engineer,Germany,Question 3,option c
Full Stack Software Engineer,Germany,Question 4,option b
Full Stack Software Engineer,Germany,Question 5,option b
Full Stack Software Engineer,Germany,Question 6,option a
Full Stack Software Engineer,Germany,Question 7,option a
Full Stack Software Engineer,Germany,Question 8,option c
Full Stack Software Engineer,Germany,Question 9,option a
Full Stack Software Engineer,Germany,Question 10,option c
Full Stack Software Engineer,Germany,Question 11,option b
Full Stack Software Engineer,Germany,Question 12,option a
Full Stack Software Engineer,Malta,Question 1,option a
Full Stack Software Engineer,Malta,Question 2,option b
Full Stack Software Engineer,Malta,Question 3,option c
Full Stack Software Engineer,Malta,Question 4,option b
Full Stack Software Engineer,Malta,Question 5,option b
Full Stack Software Engineer,Malta,Question 6,option b
Full Stack Software Engineer,Malta,Question 7,option a
Full Stack Software Engineer,Malta,Question 8,option c
Full Stack Software Engineer,Malta,Question 9,option a
Full Stack Software Engineer,Malta,Question 10,option c
Full Stack Software Engineer,Malta,Question 11,option b
Full Stack Software Engineer,Malta,Question 12,option a
Full Stack Software Engineer,United Kingdom,Question 1,option a
Full Stack Software Engineer,United Kingdom,Question 2,option b
Full Stack Software Engineer,United Kingdom,Question 3,option c
Full Stack Software Engineer,United Kingdom,Question 4,option b
Full Stack Software Engineer,United Kingdom,Question 5,option b
Full Stack Software Engineer,United Kingdom,Question 6,option a
Full Stack Software Engineer,United Kingdom,Question 7,option a
Full Stack Software Engineer,United Kingdom,Question 8,option c
Full Stack Software Engineer,United Kingdom,Question 9,option b
Full Stack Software Engineer,United Kingdom,Question 10,option c
Full Stack Software Engineer,United Kingdom,Question 11,option b
Full Stack Software Engineer,United Kingdom,Question 12,option a
System Administrator,Macedonia,Question 1,option c
System Administrator,Macedonia,Question 2,option b
System Administrator,Macedonia,Question 3,option c
System Administrator,Macedonia,Question 4,option a
System Administrator,Macedonia,Question 5,option b
System Administrator,Macedonia,Question 6,option a
System Administrator,Macedonia,Question 7,option c
System Administrator,Macedonia,Question 8,option c
System Administrator,Macedonia,Question 9,option a
System Administrator,Macedonia,Question 10,option c
System Administrator,Macedonia,Question 11,option b
System Administrator,Macedonia,Question 12,option a
System Administrator,Canada,Question 1,option a
System Administrator,Canada,Question 2,option b
System Administrator,Canada,Question 3,option c
System Administrator,Canada,Question 4,option b
System Administrator,Canada,Question 5,option b
System Administrator,Canada,Question 6,option b
System Administrator,Canada,Question 7,option a
System Administrator,Canada,Question 8,option c
System Administrator,Canada,Question 9,option a
System Administrator,Canada,Question 10,option c
System Administrator,Canada,Question 11,option b
System Administrator,Canada,Question 12,option a
System Administrator,Spain,Question 1,option a
System Administrator,Spain,Question 2,option b
System Administrator,Spain,Question 3,option c
System Administrator,Spain,Question 4,option b
System Administrator,Spain,Question 5,option b
System Administrator,Spain,Question 6,option b
System Administrator,Spain,Question 7,option a
System Administrator,Spain,Question 8,option c
System Administrator,Spain,Question 9,option a
System Administrator,Spain,Question 10,option c
System Administrator,Spain,Question 11,option b
System Administrator,Spain,Question 12,option a
System Administrator,Argentina,Question 1,option a
System Administrator,Argentina,Question 2,option b
System Administrator,Argentina,Question 3,option c
System Administrator,Argentina,Question 4,option b
System Administrator,Argentina,Question 5,option b
System Administrator,Argentina,Question 6,option b
System Administrator,Argentina,Question 7,option a
System Administrator,Argentina,Question 8,option c
System Administrator,Argentina,Question 9,option a
System Administrator,Argentina,Question 10,option c
System Administrator,Argentina,Question 11,option b
System Administrator,Argentina,Question 12,option a
System Administrator,Germany,Question 1,option a
System Administrator,Germany,Question 2,option b
System Administrator,Germany,Question 3,option c
System Administrator,Germany,Question 4,option a
System Administrator,Germany,Question 5,option b
System Administrator,Germany,Question 6,option a
System Administrator,Germany,Question 7,option a
System Administrator,Germany,Question 8,option c
System Administrator,Germany,Question 9,option a
System Administrator,Germany,Question 10,option c
System Administrator,Germany,Question 11,option b
System Administrator,Germany,Question 12,option a
System Administrator,Malta,Question 1,option c
System Administrator,Malta,Question 2,option b
System Administrator,Malta,Question 3,option c
System Administrator,Malta,Question 4,option a
System Administrator,Malta,Question 5,option b
System Administrator,Malta,Question 6,option b
System Administrator,Malta,Question 7,option a
System Administrator,Malta,Question 8,option c
System Administrator,Malta,Question 9,option a
System Administrator,Malta,Question 10,option c
System Administrator,Malta,Question 11,option b
System Administrator,Malta,Question 12,option a
System Administrator,United Kingdom,Question 1,option a
System Administrator,United Kingdom,Question 2,option b
System Administrator,United Kingdom,Question 3,option c
System Administrator,United Kingdom,Question 4,option b
System Administrator,United Kingdom,Question 5,option b
System Administrator,United Kingdom,Question 6,option b
System Administrator,United Kingdom,Question 7,option a
System Administrator,United Kingdom,Question 8,option c
System Administrator,United Kingdom,Question 9,option a
System Administrator,United Kingdom,Question 10,option c
System Administrator,United Kingdom,Question 11,option b
System Administrator,United Kingdom,Question 12,option a
Sales Representative,Macedonia,Question 1,option c
Sales Representative,Macedonia,Question 2,option b
Sales Representative,Macedonia,Question 3,option c
Sales Representative,Macedonia,Question 4,option b
Sales Representative,Macedonia,Question 5,option b
Sales Representative,Macedonia,Question 6,option b
Sales Representative,Macedonia,Question 7,option a
Sales Representative,Macedonia,Question 8,option c
Sales Representative,Macedonia,Question 9,option a
Sales Representative,Macedonia,Question 10,option c
Sales Representative,Macedonia,Question 11,option b
Sales Representative,Macedonia,Question 12,option a
Sales Representative,Canada,Question 1,option a
Sales Representative,Canada,Question 2,option b
Sales Representative,Canada,Question 3,option c
Sales Representative,Canada,Question 4,option b
Sales Representative,Canada,Question 5,option b
Sales Representative,Canada,Question 6,option b
Sales Representative,Canada,Question 7,option a
Sales Representative,Canada,Question 8,option c
Sales Representative,Canada,Question 9,option a
Sales Representative,Canada,Question 10,option c
Sales Representative,Canada,Question 11,option b
Sales Representative,Canada,Question 12,option a
Sales Representative,Spain,Question 1,option b
Sales Representative,Spain,Question 2,option b
Sales Representative,Spain,Question 3,option c
Sales Representative,Spain,Question 4,option b
Sales Representative,Spain,Question 5,option b
Sales Representative,Spain,Question 6,option b
Sales Representative,Spain,Question 7,option a
Sales Representative,Spain,Question 8,option c
Sales Representative,Spain,Question 9,option a
Sales Representative,Spain,Question 10,option c
Sales Representative,Spain,Question 11,option b
Sales Representative,Spain,Question 12,option a
Sales Representative,Argentina,Question 1,option a
Sales Representative,Argentina,Question 2,option b
Sales Representative,Argentina,Question 3,option c
Sales Representative,Argentina,Question 4,option b
Sales Representative,Argentina,Question 5,option b
Sales Representative,Argentina,Question 6,option b
Sales Representative,Argentina,Question 7,option a
Sales Representative,Argentina,Question 8,option c
Sales Representative,Argentina,Question 9,option a
Sales Representative,Argentina,Question 10,option c
Sales Representative,Argentina,Question 11,option b
Sales Representative,Argentina,Question 12,option a
Sales Representative,Germany,Question 1,option a
Sales Representative,Germany,Question 2,option b
Sales Representative,Germany,Question 3,option c
Sales Representative,Germany,Question 4,option b
Sales Representative,Germany,Question 5,option b
Sales Representative,Germany,Question 6,option a
Sales Representative,Germany,Question 7,option a
Sales Representative,Germany,Question 8,option c
Sales Representative,Germany,Question 9,option a
Sales Representative,Germany,Question 10,option c
Sales Representative,Germany,Question 11,option b
Sales Representative,Germany,Question 12,option a
Sales Representative,Malta,Question 1,option c
