WorkPosition,Country,Question,Option
Student,USA,Question 1,option b  
Student,USA,Question 2,option b  
Student,USA,Question 3,option a  
Student,USA,Question 4,option a  
Student,USA,Question 5,option a  
Student,USA,Question 6,option b  
Student,USA,Question 7,option b  
Student,USA,Question 8,option b  
Student,USA,Question 9,option b  
Student,USA,Question 10,option b  
Student,USA,Question 11,option a  
Student,USA,Question 12,option a  
Student,USA,Question 13,option a  
Student,USA,Question 14,option a  
Student,USA,Question 15,option a  
Student,USA,Question 16,option b  
Student,USA,Question 17,option b  
Student,USA,Question 18,option b  
Student,USA,Question 19,option a  
Student,USA,Question 20,option b  
Student,USA,Question 21,option b  
Student,USA,Question 22,option a  
Student,USA,Question 23,option b  
Student,USA,Question 24,option a  
Student,USA,Question 25,option b  
Student,USA,Question 26,option a  
Student,USA,Question 27,option a  
Student,USA,Question 28,option a  
Student,USA,Question 29,option b
