WorkPosition,Country,Question,Option
Student,MK,Question 1,option b  
Student,MK,Question 2,option a  
Student,MK,Question 3,option b  
Student,MK,Question 4,option b  
Student,MK,Question 5,option a  
Student,MK,Question 6,option b  
Student,MK,Question 7,option b  
Student,MK,Question 8,option a  
Student,MK,Question 9,option b  
Student,MK,Question 10,option a  
Student,MK,Question 11,option a  
Student,MK,Question 12,option b  
Student,MK,Question 13,option b  
Student,MK,Question 14,option a  
Student,MK,Question 15,option b  
Student,MK,Question 16,option b  
Student,MK,Question 17,option a  
Student,MK,Question 18,option b  
Student,MK,Question 19,option a  
Student,MK,Question 20,option b
