WorkPosition,Country,Question,Option
Student,MK,Question 1,option c  
Student,MK,Question 2,option g  
Student,MK,Question 3,option f  
Student,MK,Question 4,option c  
Student,MK,Question 5,option f  
Student,MK,Question 6,option g  
Student,MK,Question 7,option d  
Student,MK,Question 8,option g  
Student,MK,Question 9,option c  
Student,MK,Question 10,option g  
Student,MK,Question 11,option e  
Student,MK,Question 12,option g  
Student,MK,Question 13,option f  
Student,MK,Question 14,option g  
Student,MK,Question 15,option b  
Student,MK,Question 16,option g
