WorkPosition,Country,Question,Option
Student,USA,Question 1,option a  
Student,USA,Question 2,option a  
Student,USA,Question 3,option b  
Student,USA,Question 4,option b  
Student,USA,Question 5,option a  
Student,USA,Question 6,option b  
Student,USA,Question 7,option b  
Student,USA,Question 8,option a  
Student,USA,Question 9,option b  
Student,USA,Question 10,option a  
Student,USA,Question 11,option a  
Student,USA,Question 12,option a  
Student,USA,Question 13,option b  
Student,USA,Question 14,option a  
Student,USA,Question 15,option b  
Student,USA,Question 16,option b  
Student,USA,Question 17,option a  
Student,USA,Question 18,option a  
Student,USA,Question 19,option a  
Student,USA,Question 20,option b
