WorkPosition,Country,Question,Option
Project Manager,Macedonia,"Question 1,",option c
Project Manager,Macedonia,"Question 2,",option b
Project Manager,Macedonia,"Question 3,",option b
Project Manager,Macedonia,"Question 4,",option b
Project Manager,Macedonia,"Question 5,",option b
Project Manager,Macedonia,"Question 6,",option a
Project Manager,Macedonia,"Question 7,",option a
Project Manager,Macedonia,"Question 8,",option c
Project Manager,Macedonia,"Question 9,",option a
Project Manager,Macedonia,"Question 10,",option c
Project Manager,Macedonia,"Question 11,",option b
Project Manager,Macedonia,"Question 12,",option a
Project Manager,Canada,"Question 1,",option a
Project Manager,Canada,"Question 2,",option b
Project Manager,Canada,"Question 3,",option b
Project Manager,Canada,"Question 4,",option b
Project Manager,Canada,"Question 5,",option b
Project Manager,Canada,"Question 6,",option b
Project Manager,Canada,"Question 7,",option a
Project Manager,Canada,"Question 8,",option c
Project Manager,Canada,"Question 9,",option a
Project Manager,Canada,"Question 10,",option c
Project Manager,Canada,"Question 11,",option b
Project Manager,Canada,"Question 12,",option a
Project Manager,Spain,"Question 1,",option a
Project Manager,Spain,"Question 2,",option b
Project Manager,Spain,"Question 3,",option b
Project Manager,Spain,"Question 4,",option b
Project Manager,Spain,"Question 5,",option b
Project Manager,Spain,"Question 6,",option a
Project Manager,Spain,"Question 7,",option a
Project Manager,Spain,"Question 8,",option c
Project Manager,Spain,"Question 9,",option a
Project Manager,Spain,"Question 10,",option c
Project Manager,Spain,"Question 11,",option b
Project Manager,Spain,"Question 12,",option a
Project Manager,Argentina,"Question 1,",option a
Project Manager,Argentina,"Question 2,",option b
Project Manager,Argentina,"Question 3,",option b
Project Manager,Argentina,"Question 4,",option b
Project Manager,Argentina,"Question 5,",option b
Project Manager,Argentina,"Question 6,",option b
Project Manager,Argentina,"Question 7,",option a
Project Manager,Argentina,"Question 8,",option b
Project Manager,Argentina,"Question 9,",option a
Project Manager,Argentina,"Question 10,",option c
Project Manager,Argentina,"Question 11,",option b
Project Manager,Argentina,"Question 12,",option a
Project Manager,Germany,"Question 1,",option c
Project Manager,Germany,"Question 2,",option b
Project Manager,Germany,"Question 3,",option b
Project Manager,Germany,"Question 4,",option b
Project Manager,Germany,"Question 5,",option b
Project Manager,Germany,"Question 6,",option b
Project Manager,Germany,"Question 7,",option a
Project Manager,Germany,"Question 8,",option c
Project Manager,Germany,"Question 9,",option a
Project Manager,Germany,"Question 10,",option c
Project Manager,Germany,"Question 11,",option b
Project Manager,Germany,"Question 12,",option a
Project Manager,Malta,"Question 1,",option a
Project Manager,Malta,"Question 2,",option b
Project Manager,Malta,"Question 3,",option b
Project Manager,Malta,"Question 4,",option b
Project Manager,Malta,"Question 5,",option b
Project Manager,Malta,"Question 6,",option a
Project Manager,Malta,"Question 7,",option a
Project Manager,Malta,"Question 8,",option b
Project Manager,Malta,"Question 9,",option a
Project Manager,Malta,"Question 10,",option c
Project Manager,Malta,"Question 11,",option b
Project Manager,Malta,"Question 12,",option a
Project Manager,United Kingdom,"Question 1,",option a
Project Manager,United Kingdom,"Question 2,",option b
Project Manager,United Kingdom,"Question 3,",option b
Project Manager,United Kingdom,"Question 4,",option b
Project Manager,United Kingdom,"Question 5,",option b
Project Manager,United Kingdom,"Question 6,",option b
Project Manager,United Kingdom,"Question 7,",option a
Project Manager,United Kingdom,"Question 8,",option c
Project Manager,United Kingdom,"Question 9,",option a
Project Manager,United Kingdom,"Question 10,",option c
Project Manager,United Kingdom,"Question 11,",option b
Project Manager,United Kingdom,"Question 12,",option a
Software Engineer,North Macedonia,"Question 1,",option a
Software Engineer,North Macedonia,"Question 2,",option b
Software Engineer,North Macedonia,"Question 3,",option b
Software Engineer,North Macedonia,"Question 4,",option b
Software Engineer,North Macedonia,"Question 5,",option b
Software Engineer,North Macedonia,"Question 6,",option a
Software Engineer,North Macedonia,"Question 7,",option a
Software Engineer,North Macedonia,"Question 8,",option c
Software Engineer,North Macedonia,"Question 9,",option a
Software Engineer,North Macedonia,"Question 10,",option c
Software Engineer,North Macedonia,"Question 11,",option b
Software Engineer,North Macedonia,"Question 12,",option a
Software Engineer,Canada,"Question 1,",option a
Software Engineer,Canada,"Question 2,",option b
Software Engineer,Canada,"Question 3,",option b
Software Engineer,Canada,"Question 4,",option b
Software Engineer,Canada,"Question 5,",option b
Software Engineer,Canada,"Question 6,",option a
Software Engineer,Canada,"Question 7,",option a
Software Engineer,Canada,"Question 8,",option c
Software Engineer,Canada,"Question 9,",option c
Software Engineer,Canada,"Question 10,",option c
Software Engineer,Canada,"Question 11,",option b
Software Engineer,Canada,"Question 12,",option a
Software Engineer,Spain,"Question 1,",option b
Software Engineer,Spain,"Question 2,",option b
Software Engineer,Spain,"Question 3,",option a
Software Engineer,Spain,"Question 4,",option c
Software Engineer,Spain,"Question 5,",option b
Software Engineer,Spain,"Question 6,",option a
Software Engineer,Spain,"Question 7,",option a
Software Engineer,Spain,"Question 8,",option b
Software Engineer,Spain,"Question 9,",option a
Software Engineer,Spain,"Question 10,",option c
Software Engineer,Spain,"Question 11,",option b
Software Engineer,Spain,"Question 12,",option a
Software Engineer,Argentina,"Question 1,",option b
Software Engineer,Argentina,"Question 2,",option b
Software Engineer,Argentina,"Question 3,",option b
Software Engineer,Argentina,"Question 4,",option c
Software Engineer,Argentina,"Question 5,",option b
Software Engineer,Argentina,"Question 6,",option b
Software Engineer,Argentina,"Question 7,",option a
Software Engineer,Argentina,"Question 8,",option b
Software Engineer,Argentina,"Question 9,",option a
Software Engineer,Argentina,"Question 10,",option c
Software Engineer,Argentina,"Question 11,",option b
Software Engineer,Argentina,"Question 12,",option a
Software Engineer,Germany,"Question 1,",option a
