Student,Country,Question,Option
IT Management Student,North Macedonia,"Question 1,",option b
IT Management Student,North Macedonia,"Question 2,",option b
IT Management Student,North Macedonia,"Question 3,",option a
IT Management Student,North Macedonia,"Question 4,",option a
IT Management Student,North Macedonia,"Question 5,",option a
IT Management Student,North Macedonia,"Question 6,",option b
IT Management Student,North Macedonia,"Question 7,",option b
IT Management Student,North Macedonia,"Question 8,",option b
IT Management Student,North Macedonia,"Question 9,",option b
IT Management Student,North Macedonia,"Question 10,",option b
IT Management Student,North Macedonia,"Question 11,",option a
IT Management Student,North Macedonia,"Question 12,",option a
IT Management Student,North Macedonia,"Question 13,",option a
IT Management Student,North Macedonia,"Question 14,",option a
IT Management Student,North Macedonia,"Question 15,",option a
IT Management Student,North Macedonia,"Question 16,",option b
IT Management Student,North Macedonia,"Question 17,",option b
IT Management Student,North Macedonia,"Question 18,",option b
IT Management Student,North Macedonia,"Question 19,",option a
IT Management Student,North Macedonia,"Question 20,",option b
IT Management Student,North Macedonia,"Question 21,",option b
IT Management Student,North Macedonia,"Question 22,",option a
IT Management Student,North Macedonia,"Question 23,",option b
IT Management Student,North Macedonia,"Question 24,",option a
IT Management Student,North Macedonia,"Question 25,",option b
IT Management Student,North Macedonia,"Question 26,",option a
IT Management Student,North Macedonia,"Question 27,",option a
IT Management Student,North Macedonia,"Question 28,",option a
IT Management Student,North Macedonia,"Question 29,",option b
Business Student,USA,"Question 1,",option b
Business Student,USA,"Question 2,",option b
Business Student,USA,"Question 3,",option a
Business Student,USA,"Question 4,",option a
Business Student,USA,"Question 5,",option a
Business Student,USA,"Question 6,",option b
Business Student,USA,"Question 7,",option b
Business Student,USA,"Question 8,",option b
Business Student,USA,"Question 9,",option b
Business Student,USA,"Question 10,",option b
Business Student,USA,"Question 11,",option a
Business Student,USA,"Question 12,",option a
Business Student,USA,"Question 13,",option a
Business Student,USA,"Question 14,",option a
Business Student,USA,"Question 15,",option a
Business Student,USA,"Question 16,",option b
Business Student,USA,"Question 17,",option b
Business Student,USA,"Question 18,",option b
Business Student,USA,"Question 19,",option a
Business Student,USA,"Question 20,",option b
Business Student,USA,"Question 21,",option b
Business Student,USA,"Question 22,",option a
Business Student,USA,"Question 23,",option b
Business Student,USA,"Question 24,",option a
Business Student,USA,"Question 25,",option b
Business Student,USA,"Question 26,",option a
Business Student,USA,"Question 27,",option a
Business Student,USA,"Question 28,",option a
Business Student,USA,"Question 29,",option b
