Student,Country,Question,Option
IT Management Student,North Macedonia,"Question 1,",option b
IT Management Student,North Macedonia,"Question 2,",option f
IT Management Student,North Macedonia,"Question 3,",option f
IT Management Student,North Macedonia,"Question 4,",option c
IT Management Student,North Macedonia,"Question 5,",option c
IT Management Student,North Macedonia,"Question 6,",option f
IT Management Student,North Macedonia,"Question 7,",option f
IT Management Student,North Macedonia,"Question 8,",option g
IT Management Student,North Macedonia,"Question 9,",option b
IT Management Student,North Macedonia,"Question 10,",option f
IT Management Student,North Macedonia,"Question 11,",option d
IT Management Student,North Macedonia,"Question 12,",option f
IT Management Student,North Macedonia,"Question 13,",option f
IT Management Student,North Macedonia,"Question 14,",option f
IT Management Student,North Macedonia,"Question 15,",option b
IT Management Student,North Macedonia,"Question 16,",option g
Business Student,USA,"Question 1,",option b
Business Student,USA,"Question 2,",option f
Business Student,USA,"Question 3,",option e
Business Student,USA,"Question 4,",option c
Business Student,USA,"Question 5,",option f
Business Student,USA,"Question 6,",option f
Business Student,USA,"Question 7,",option d
Business Student,USA,"Question 8,",option g
Business Student,USA,"Question 9,",option c
Business Student,USA,"Question 10,",option e
Business Student,USA,"Question 11,",option b
Business Student,USA,"Question 12,",option f
Business Student,USA,"Question 13,",option f
Business Student,USA,"Question 14,",option e
Business Student,USA,"Question 15,",option a
Business Student,USA,"Question 16,",option g
